City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Kapaa,US,78.8,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
6,Kununurra,AU,86.0,few clouds,-15.7667,128.7333,Hotel Kununurra
8,San Patricio,US,78.8,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
9,Bambous Virieux,MU,77.0,light rain,-20.3428,57.7575,Casa Tia Villa
12,Faanui,PF,80.02,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
14,Rikitea,PF,79.03,overcast clouds,-23.1203,-134.9692,Pension Maro'i
15,Souillac,MU,77.0,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
16,Fare,PF,79.99,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
20,Conde,BR,77.0,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
21,Namatanai,PG,82.42,light rain,-3.6667,152.4333,Namatanai Hotel
24,Vaini,TO,84.2,few clouds,-21.2,-175.2,Keleti Beach Resort
25,Avarua,CK,80.6,light rain,-21.2078,-159.775,Paradise Inn
29,Anta,IN,82.29,overcast clouds,25.15,76.3,Agnisaman Kendra
32,San Cristobal,VE,82.4,few clouds,7.7669,-72.225,Posada Villaven C.A.
35,Loandjili,CG,77.99,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
36,Kavieng,PG,80.47,moderate rain,-2.5744,150.7967,Nusa Island Retreat
37,Carnarvon,AU,82.4,clear sky,-24.8667,113.6333,Hospitality Carnarvon
40,Buala,SB,85.33,light rain,-8.145,159.5921,Maringe Lagoon Lodge
44,Martapura,ID,86.0,clear sky,-3.4167,114.85,Montana Hotel Syariah
47,Butaritari,KI,81.37,moderate rain,3.0707,172.7902,Isles Sunset Lodge
49,Kalmunai,LK,81.88,few clouds,7.4167,81.8167,VS Villa
50,Saint-Pierre,RE,75.2,clear sky,-21.3393,55.4781,Lindsey Hôtel
54,Puerto Ayora,EC,77.0,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
55,Taoudenni,ML,86.63,clear sky,22.6783,-3.9836,
60,Kupang,ID,84.65,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
64,Mangrol,IN,80.76,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
82,Georgetown,MY,78.8,scattered clouds,5.4112,100.3354,Cititel Penang
83,Massakory,TD,88.59,scattered clouds,12.995999999999999,15.7293,
85,Atuona,PF,80.38,light rain,-9.8,-139.0333,Villa Enata
90,Pattani,TH,80.6,scattered clouds,6.75,100.4167,Tobias Kleeberg
93,Hilo,US,77.0,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
94,Sur,OM,84.74,clear sky,22.5667,59.5289,Sur Plaza Hotel
99,Bathsheba,BB,78.8,few clouds,13.2167,-59.5167,Atlantis Hotel
100,Port Keats,AU,87.84,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
107,Cabo San Lucas,MX,75.99,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
110,Kahului,US,80.6,few clouds,20.8947,-156.47,Maui Seaside Hotel
111,Kendari,ID,87.3,scattered clouds,-3.945,122.4989,Hotel Wixel
115,Cockburn Town,TC,78.17,clear sky,21.4612,-71.1419,Osprey Beach Hotel
