City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Busselton,-33.65,115.3333,71.6,48,31,5.35,AU,scattered clouds
1,Kruisfontein,-34.0033,24.7314,59.0,93,93,1.99,ZA,overcast clouds
2,Hermanus,-34.4187,19.2345,55.0,90,95,1.01,ZA,overcast clouds
3,Yagunovskiy,55.2828,85.978,37.4,35,0,11.18,RU,clear sky
4,Brae,60.3964,-1.353,44.6,87,90,2.3,GB,overcast clouds
5,Kapaa,22.0752,-159.319,78.8,65,40,16.11,US,light rain
6,Kununurra,-15.7667,128.7333,86.0,23,14,16.11,AU,few clouds
7,Mataura,-46.1927,168.8643,48.99,90,99,4.0,NZ,overcast clouds
8,San Patricio,28.017,-97.5169,78.8,89,40,17.27,US,scattered clouds
9,Bambous Virieux,-20.3428,57.7575,77.0,88,75,8.05,MU,light rain
10,Airai,-8.9266,125.4092,74.17,48,5,3.13,TL,clear sky
11,Bredasdorp,-34.5322,20.0403,44.6,100,94,1.45,ZA,overcast clouds
12,Faanui,-16.4833,-151.75,80.02,74,100,10.56,PF,light rain
13,Barrow,71.2906,-156.7887,28.4,74,1,3.44,US,clear sky
14,Rikitea,-23.1203,-134.9692,79.03,72,100,16.31,PF,overcast clouds
15,Souillac,-20.5167,57.5167,77.0,88,75,8.05,MU,light rain
16,Fare,-16.7,-151.0167,79.99,72,100,9.35,PF,light rain
17,Keflavik,64.0049,-22.5624,46.4,93,90,14.97,IS,overcast clouds
18,Husavik,66.0449,-17.3389,35.6,93,0,3.44,IS,clear sky
19,Grindavik,63.8424,-22.4338,46.4,93,90,14.97,IS,overcast clouds
20,Conde,-7.2597,-34.9075,77.0,88,40,3.44,BR,scattered clouds
21,Namatanai,-3.6667,152.4333,82.42,72,93,5.21,PG,light rain
22,Uarini,-2.99,-65.1083,73.87,95,37,1.66,BR,scattered clouds
23,Burnie,-41.0667,145.9167,61.0,61,78,13.0,AU,broken clouds
24,Vaini,-21.2,-175.2,84.2,79,20,6.91,TO,few clouds
25,Avarua,-21.2078,-159.775,80.6,78,40,17.27,CK,light rain
26,Punta Arenas,-53.15,-70.9167,41.0,100,40,3.44,CL,scattered clouds
27,Alice Springs,-23.7,133.8833,73.99,35,0,12.66,AU,clear sky
28,Ushuaia,-54.8,-68.3,42.8,93,75,14.97,AR,broken clouds
29,Anta,25.15,76.3,82.29,31,100,9.06,IN,overcast clouds
30,Byron Bay,-28.65,153.6167,71.6,53,0,3.44,AU,clear sky
31,Cidreira,-30.1811,-50.2056,70.16,81,1,16.6,BR,clear sky
32,San Cristobal,7.7669,-72.225,82.4,74,20,3.44,VE,few clouds
33,Sitka,57.0531,-135.33,59.0,23,20,10.36,US,few clouds
34,Kangaatsiaq,68.3065,-53.4641,27.37,84,100,6.08,GL,overcast clouds
35,Loandjili,-4.7561,11.8578,77.99,92,100,1.95,CG,overcast clouds
36,Kavieng,-2.5744,150.7967,80.47,79,95,4.23,PG,moderate rain
37,Carnarvon,-24.8667,113.6333,82.4,32,2,5.75,AU,clear sky
38,Yermish,54.7678,42.2711,43.21,94,12,9.13,RU,few clouds
39,Teguldet,57.3064,88.1667,36.57,77,100,6.42,RU,overcast clouds
40,Buala,-8.145,159.5921,85.33,66,39,5.17,SB,light rain
41,Zatoka,46.0725,30.4654,37.4,93,0,2.24,UA,clear sky
42,Dikson,73.5069,80.5464,31.86,98,100,15.35,RU,light snow
43,Port Lincoln,-34.7333,135.8667,63.9,59,59,6.4,AU,broken clouds
44,Martapura,-3.4167,114.85,86.0,54,4,3.44,ID,clear sky
45,Hobart,-42.8794,147.3294,60.8,48,75,16.11,AU,broken clouds
46,Ngunguru,-35.6167,174.5,72.0,61,2,7.0,NZ,clear sky
47,Butaritari,3.0707,172.7902,81.37,78,100,6.62,KI,moderate rain
